file number,time (s),x_center (cm),adv (degree),rec (degree),contact_line_length (cm),y_center (cm),middle_angle_degree (degree),velocity (cm/s)
frame_000115.png,0.0,0.4645761176526921,114.11720853157837,76.32562293786077,0.5607122429224323,0.11579865920012243,69.68255033437234,35.93972563246894
frame_000116.png,0.00025,0.4735610490608093,115.93863636372431,75.11064965640384,0.5614085240971155,0.11603180289638275,69.7331979502959,35.50896835138451
frame_000117.png,0.0005,0.48243829114865544,113.5840762471093,75.54350275092476,0.5634994895571918,0.1161470481146569,69.68831196955436,34.67562512728617
frame_000118.png,0.00075,0.491107197430477,113.02852958007334,73.85547742859119,0.5648753812397944,0.1163417931220494,69.57292405996226,36.31639958272292
frame_000119.png,0.001,0.5001862973261577,114.369919886056,75.39878416012786,0.5646012826506942,0.11640925512183677,69.52715750827488,35.80705153987162
frame_000120.png,0.00125,0.5091380602111256,115.04343226452826,76.37378777287358,0.5643483256585119,0.11659958209442295,69.62347733760406,35.9822892996342
frame_000121.png,0.0015,0.5181336325360342,115.16503304474266,75.27150211351915,0.5651070086660247,0.11681091428149835,69.58840866972982,36.78934564773417
frame_000122.png,0.00175,0.5273309689479677,115.06153112059644,74.29497808334054,0.5661384650706219,0.11694207703401915,69.62960767715728,36.337280789530354
frame_000123.png,0.002,0.5364152891453503,116.7162551637285,72.1848072454452,0.5669474224412424,0.11711965938966182,69.6595318167538,36.51290379414496
frame_000124.png,0.0022500000000000003,0.5455435150938865,116.36280737541331,74.32384296082884,0.5673616885080652,0.1173559603979134,69.6026178825722,36.132534150792765
frame_000125.png,0.0025,0.5545766486315847,115.5003938583734,75.20393932099432,0.5686758071015533,0.11745489012009107,69.56401017770858,36.1382908179082
frame_000126.png,0.00275,0.5636112213360618,116.75773781429196,74.43917843989408,0.5692572299863885,0.11757985883722623,69.49754424284184,36.344603686414786
frame_000127.png,0.003,0.5726973722576655,117.5582882185798,73.36020923791654,0.5701552915242135,0.11775202212005001,69.43663413990679,37.74448806750996
frame_000128.png,0.0032500000000000003,0.582133494274543,114.87352226222757,73.55323771631802,0.5722379819963906,0.11779272266053013,69.47022111883068,37.22431959377515
frame_000129.png,0.0035,0.5914395741729868,117.95876560925757,76.1896135214715,0.5705536318730596,0.11810001449608784,69.51604980662717,36.36187983688366
frame_000130.png,0.00375,0.6005300441322077,116.47697164690288,74.71695214884859,0.5725298281872058,0.11825216223741589,69.51026865502163,37.384910560386956
frame_000131.png,0.004,0.6098762717723044,115.17052315892377,74.42043277414534,0.5741882039456445,0.11843441617565234,69.47857260735928,36.59359857704247
frame_000132.png,0.00425,0.619024671416565,115.46264739400112,73.85976414016108,0.5749825118736396,0.11863715724571089,69.4040513819267,36.78997366478587
frame_000133.png,0.0045000000000000005,0.6282221648327615,118.51043334315125,74.06562864180476,0.5746457241512649,0.11869966294056901,69.36789027148383,37.88524932091075
frame_000134.png,0.00475,0.6376934771629892,116.9402266617451,74.347045017946,0.5764204866256496,0.1189094427554187,69.31311764728332,36.39236436972793
frame_000135.png,0.005,0.6467915682554212,116.6510396830575,73.4453202389081,0.5779111203791963,0.11902541409308148,69.30410123993407,37.409714305029155
frame_000136.png,0.00525,0.6561439968316785,115.2329838787381,71.6932611552292,0.5807524294638005,0.1191949883456504,69.37028360189177,37.229591594218014
frame_000137.png,0.0055,0.665451394730233,116.22874967708404,72.33359618310159,0.5804367119433018,0.11939873993787217,69.40465726812431,37.895464629750904
frame_000138.png,0.00575,0.6749252608876707,117.89791504880068,72.16945546046094,0.5802957759688692,0.11961560207866957,69.39267568833043,38.576271205493114
frame_000139.png,0.006,0.684569328689044,116.47267127262478,73.60766512371325,0.5814440574248628,0.11986072818182525,69.32391873718299,37.51073963211571
frame_000140.png,0.00625,0.6939470135970729,117.98709382890024,71.50389495538423,0.5820816406363087,0.11994611177678609,69.38925318601012,37.478292019895946
frame_000141.png,0.006500000000000001,0.7033165866020469,114.9869293247972,71.36921859555336,0.5849022040767765,0.12010551915292882,69.30259642625656,38.231442405118884
frame_000142.png,0.00675,0.7128744472033266,117.63194689174372,71.4336080273364,0.58442317130249,0.12022389100160338,69.24394251412272,38.46453589718246
frame_000143.png,0.007,0.7224905811776222,117.86086334804074,71.9148879415759,0.58474927471161,0.12042214609800961,69.13610754972838,37.96067904355738
frame_000144.png,0.00725,0.7319807509385116,116.93844879690067,71.52011755669457,0.5860804010624858,0.12049500159675602,69.09593798412887,38.19905921410349
frame_000145.png,0.0075,0.7415305157420374,117.90576113459908,71.49940706885434,0.5865687136446092,0.12060691088156361,69.02871900289654,38.78802455031449
frame_000146.png,0.00775,0.7512275218796161,118.19553649126112,71.99181309223007,0.5870496091604863,0.12077525979117203,69.02722562583928,39.03171294838348
frame_000147.png,0.008,0.7609854501167119,118.65444028898301,73.69295456495777,0.5871298062140766,0.12088525264428017,68.93164781747647,38.45495622734951
frame_000148.png,0.00825,0.7705991891735493,117.41405568254129,72.55237553982934,0.5889785191241107,0.12105255304008908,68.91785145807647,38.88586514932291
frame_000149.png,0.0085,0.78032065546088,117.96865661959889,71.74073299936926,0.5899240923602332,0.12108928392672856,68.83874224323621,39.84386823625119
frame_000150.png,0.00875,0.7902816225199428,118.1453533968206,72.99378187871042,0.5901229001268113,0.12120551354280774,68.82785585254678,38.95986099228432
frame_000151.png,0.009000000000000001,0.8000215877680139,118.26244405370116,72.61017948476552,0.5908569348833056,0.12133740682282135,68.78982075571997,39.08608241722167
